County,Year,Bedroom_Size,FMR
Hernando,2015,Studio,610
Hernando,2015,1BR,765
Hernando,2015,2BR,959
Hernando,2015,3BR,1280
Hernando,2015,4BR,1533
Hernando,2016,Studio,668
Hernando,2016,1BR,795
Hernando,2016,2BR,992
Hernando,2016,3BR,1319
Hernando,2016,4BR,1575
Hernando,2017,Studio,714
Hernando,2017,1BR,815
Hernando,2017,2BR,1014
Hernando,2017,3BR,1341
Hernando,2017,4BR,1609
Hernando,2018,Studio,765
Hernando,2018,1BR,842
Hernando,2018,2BR,1045
Hernando,2018,3BR,1373
Hernando,2018,4BR,1656
Hernando,2019,Studio,860
Hernando,2019,1BR,916
Hernando,2019,2BR,1133
Hernando,2019,3BR,1485
Hernando,2019,4BR,1794
Hernando,2020,Studio,935
Hernando,2020,1BR,981
Hernando,2020,2BR,1206
Hernando,2020,3BR,1575
Hernando,2020,4BR,1925
Hernando,2021,Studio,989
Hernando,2021,1BR,1040
Hernando,2021,2BR,1271
Hernando,2021,3BR,1651
Hernando,2021,4BR,2028
Hernando,2022,Studio,1044
Hernando,2022,1BR,1110
Hernando,2022,2BR,1347
Hernando,2022,3BR,1732
Hernando,2022,4BR,2133
Hernando,2023,Studio,1291
Hernando,2023,1BR,1381
Hernando,2023,2BR,1659
Hernando,2023,3BR,2123
Hernando,2023,4BR,2603
Hernando,2024,Studio,1449
Hernando,2024,1BR,1562
Hernando,2024,2BR,1851
Hernando,2024,3BR,2367
Hernando,2024,4BR,2888
Hernando,2025,Studio,1566
Hernando,2025,1BR,1686
Hernando,2025,2BR,1978
Hernando,2025,3BR,2533
Hernando,2025,4BR,3082
Hillsborough,2015,Studio,610
Hillsborough,2015,1BR,765
Hillsborough,2015,2BR,959
Hillsborough,2015,3BR,1280
Hillsborough,2015,4BR,1533
Hillsborough,2016,Studio,668
Hillsborough,2016,1BR,795
Hillsborough,2016,2BR,992
Hillsborough,2016,3BR,1319
Hillsborough,2016,4BR,1575
Hillsborough,2017,Studio,714
Hillsborough,2017,1BR,815
Hillsborough,2017,2BR,1014
Hillsborough,2017,3BR,1341
Hillsborough,2017,4BR,1609
Hillsborough,2018,Studio,765
Hillsborough,2018,1BR,842
Hillsborough,2018,2BR,1045
Hillsborough,2018,3BR,1373
Hillsborough,2018,4BR,1656
Hillsborough,2019,Studio,860
Hillsborough,2019,1BR,916
Hillsborough,2019,2BR,1133
Hillsborough,2019,3BR,1485
Hillsborough,2019,4BR,1794
Hillsborough,2020,Studio,935
Hillsborough,2020,1BR,981
Hillsborough,2020,2BR,1206
Hillsborough,2020,3BR,1575
Hillsborough,2020,4BR,1925
Hillsborough,2021,Studio,989
Hillsborough,2021,1BR,1040
Hillsborough,2021,2BR,1271
Hillsborough,2021,3BR,1651
Hillsborough,2021,4BR,2028
Hillsborough,2022,Studio,1044
Hillsborough,2022,1BR,1110
Hillsborough,2022,2BR,1347
Hillsborough,2022,3BR,1732
Hillsborough,2022,4BR,2133
Hillsborough,2023,Studio,1291
Hillsborough,2023,1BR,1381
Hillsborough,2023,2BR,1659
Hillsborough,2023,3BR,2123
Hillsborough,2023,4BR,2603
Hillsborough,2024,Studio,1449
Hillsborough,2024,1BR,1562
Hillsborough,2024,2BR,1851
Hillsborough,2024,3BR,2367
Hillsborough,2024,4BR,2888
Hillsborough,2025,Studio,1566
Hillsborough,2025,1BR,1686
Hillsborough,2025,2BR,1978
Hillsborough,2025,3BR,2533
Hillsborough,2025,4BR,3082
Pasco,2015,Studio,610
Pasco,2015,1BR,765
Pasco,2015,2BR,959
Pasco,2015,3BR,1280
Pasco,2015,4BR,1533
Pasco,2016,Studio,668
Pasco,2016,1BR,795
Pasco,2016,2BR,992
Pasco,2016,3BR,1319
Pasco,2016,4BR,1575
Pasco,2017,Studio,714
Pasco,2017,1BR,815
Pasco,2017,2BR,1014
Pasco,2017,3BR,1341
Pasco,2017,4BR,1609
Pasco,2018,Studio,765
Pasco,2018,1BR,842
Pasco,2018,2BR,1045
Pasco,2018,3BR,1373
Pasco,2018,4BR,1656
Pasco,2019,Studio,860
Pasco,2019,1BR,916
Pasco,2019,2BR,1133
Pasco,2019,3BR,1485
Pasco,2019,4BR,1794
Pasco,2020,Studio,935
Pasco,2020,1BR,981
Pasco,2020,2BR,1206
Pasco,2020,3BR,1575
Pasco,2020,4BR,1925
Pasco,2021,Studio,989
Pasco,2021,1BR,1040
Pasco,2021,2BR,1271
Pasco,2021,3BR,1651
Pasco,2021,4BR,2028
Pasco,2022,Studio,1044
Pasco,2022,1BR,1110
Pasco,2022,2BR,1347
Pasco,2022,3BR,1732
Pasco,2022,4BR,2133
Pasco,2023,Studio,1291
Pasco,2023,1BR,1381
Pasco,2023,2BR,1659
Pasco,2023,3BR,2123
Pasco,2023,4BR,2603
Pasco,2024,Studio,1449
Pasco,2024,1BR,1562
Pasco,2024,2BR,1851
Pasco,2024,3BR,2367
Pasco,2024,4BR,2888
Pasco,2025,Studio,1566
Pasco,2025,1BR,1686
Pasco,2025,2BR,1978
Pasco,2025,3BR,2533
Pasco,2025,4BR,3082
Pinellas,2015,Studio,610
Pinellas,2015,1BR,765
Pinellas,2015,2BR,959
Pinellas,2015,3BR,1280
Pinellas,2015,4BR,1533
Pinellas,2016,Studio,668
Pinellas,2016,1BR,795
Pinellas,2016,2BR,992
Pinellas,2016,3BR,1319
Pinellas,2016,4BR,1575
Pinellas,2017,Studio,714
Pinellas,2017,1BR,815
Pinellas,2017,2BR,1014
Pinellas,2017,3BR,1341
Pinellas,2017,4BR,1609
Pinellas,2018,Studio,765
Pinellas,2018,1BR,842
Pinellas,2018,2BR,1045
Pinellas,2018,3BR,1373
Pinellas,2018,4BR,1656
Pinellas,2019,Studio,860
Pinellas,2019,1BR,916
Pinellas,2019,2BR,1133
Pinellas,2019,3BR,1485
Pinellas,2019,4BR,1794
Pinellas,2020,Studio,935
Pinellas,2020,1BR,981
Pinellas,2020,2BR,1206
Pinellas,2020,3BR,1575
Pinellas,2020,4BR,1925
Pinellas,2021,Studio,989
Pinellas,2021,1BR,1040
Pinellas,2021,2BR,1271
Pinellas,2021,3BR,1651
Pinellas,2021,4BR,2028
Pinellas,2022,Studio,1044
Pinellas,2022,1BR,1110
Pinellas,2022,2BR,1347
Pinellas,2022,3BR,1732
Pinellas,2022,4BR,2133
Pinellas,2023,Studio,1291
Pinellas,2023,1BR,1381
Pinellas,2023,2BR,1659
Pinellas,2023,3BR,2123
Pinellas,2023,4BR,2603
Pinellas,2024,Studio,1449
Pinellas,2024,1BR,1562
Pinellas,2024,2BR,1851
Pinellas,2024,3BR,2367
Pinellas,2024,4BR,2888
Pinellas,2025,Studio,1566
Pinellas,2025,1BR,1686
Pinellas,2025,2BR,1978
Pinellas,2025,3BR,2533
Pinellas,2025,4BR,3082
