County,Year,Median_Household_Income
Hernando,2015,43590
Hernando,2016,47253
Hernando,2017,44892
Hernando,2018,45977
Hernando,2019,51031
Hernando,2021,56868
Hernando,2022,61462
Hernando,2023,64508
Hernando,2024,70291
Hillsborough,2015,51725
Hillsborough,2016,54588
Hillsborough,2017,54731
Hillsborough,2018,58480
Hillsborough,2019,61154
Hillsborough,2021,65905
Hillsborough,2022,74308
Hillsborough,2023,76687
Hillsborough,2024,85183
Pasco,2015,46133
Pasco,2016,46264
Pasco,2017,51347
Pasco,2018,54208
Pasco,2019,55828
Pasco,2021,59470
Pasco,2022,65999
Pasco,2023,72317
Pasco,2024,72335
Pinellas,2015,47618
Pinellas,2016,50036
Pinellas,2017,51512
Pinellas,2018,52198
Pinellas,2019,56737
Pinellas,2021,61947
Pinellas,2022,66472
Pinellas,2023,70768
Pinellas,2024,73832
