County,Year,Population
Hernando,2015,176315
Hernando,2016,180618
Hernando,2017,184522
Hernando,2018,188146
Hernando,2019,191258
Hernando,2020,195610
Hernando,2021,200699
Hernando,2022,207033
Hernando,2023,213201
Hernando,2024,217572
Hernando,2025,221701
Hillsborough,2015,1346951
Hillsborough,2016,1377020
Hillsborough,2017,1404518
Hillsborough,2018,1427540
Hillsborough,2019,1445252
Hillsborough,2020,1466246
Hillsborough,2021,1484907
Hillsborough,2022,1525239
Hillsborough,2023,1556456
Hillsborough,2024,1571198
Hillsborough,2025,1574115
Pasco,2015,492631
Pasco,2016,507343
Pasco,2017,522082
Pasco,2018,535201
Pasco,2019,549629
Pasco,2020,566170
Pasco,2021,585365
Pasco,2022,610396
Pasco,2023,634951
Pasco,2024,656190
Pasco,2025,674516
Pinellas,2015,938216
Pinellas,2016,949274
Pinellas,2017,955834
Pinellas,2018,958492
Pinellas,2019,958718
Pinellas,2020,959805
Pinellas,2021,959991
Pinellas,2022,964496
Pinellas,2023,965743
Pinellas,2024,960397
Pinellas,2025,948563
