GEOID,County,Total_Renter_Households,Cost_Burdened_Renters,Pct_Cost_Burdened_Renters
12053040101,Hernando,455,214,47.0
12053040102,Hernando,155,8,5.2
12053040201,Hernando,200,45,22.5
12053040202,Hernando,320,35,10.9
12053040301,Hernando,80,23,28.8
12053040302,Hernando,175,40,22.9
12053040303,Hernando,105,80,76.2
12053040400,Hernando,440,290,65.9
12053040501,Hernando,1350,635,47.0
12053040502,Hernando,405,145,35.8
12053040601,Hernando,220,25,11.4
12053040602,Hernando,255,130,51.0
12053040701,Hernando,80,0,0.0
12053040702,Hernando,240,125,52.1
12053040801,Hernando,255,130,51.0
12053040802,Hernando,290,65,22.4
12053040901,Hernando,755,530,70.2
12053040906,Hernando,515,205,39.8
12053040907,Hernando,90,24,26.7
12053040908,Hernando,630,385,61.1
12053040909,Hernando,475,255,53.7
12053040910,Hernando,230,85,37.0
12053040911,Hernando,145,50,34.5
12053040912,Hernando,4,0,0.0
12053040913,Hernando,225,185,82.2
12053041003,Hernando,370,215,58.1
12053041004,Hernando,555,285,51.4
12053041005,Hernando,185,64,34.6
12053041006,Hernando,595,230,38.7
12053041103,Hernando,460,205,44.6
12053041104,Hernando,110,65,59.1
12053041105,Hernando,940,585,62.2
12053041106,Hernando,235,150,63.8
12053041201,Hernando,275,75,27.3
12053041203,Hernando,195,60,30.8
12053041204,Hernando,475,310,65.3
12053041302,Hernando,540,155,28.7
12053041303,Hernando,4,0,0.0
12053041304,Hernando,180,90,50.0
12053041305,Hernando,105,85,81.0
12053041401,Hernando,790,360,45.6
12053041402,Hernando,635,105,16.5
12053041501,Hernando,255,100,39.2
12053041502,Hernando,365,295,80.8
12053041601,Hernando,225,125,55.6
12053041602,Hernando,110,19,17.3
12053990000,Hernando,0,0,
12057000101,Hillsborough,1130,565,50.0
12057000102,Hillsborough,1640,510,31.1
12057000201,Hillsborough,1160,725,62.5
12057000202,Hillsborough,1290,675,52.3
12057000301,Hillsborough,1145,610,53.3
12057000302,Hillsborough,670,519,77.5
12057000401,Hillsborough,360,265,73.6
12057000402,Hillsborough,525,310,59.0
12057000500,Hillsborough,180,120,66.7
12057000601,Hillsborough,1275,650,51.0
12057000602,Hillsborough,375,200,53.3
12057000701,Hillsborough,865,570,65.9
12057000702,Hillsborough,535,375,70.1
12057000800,Hillsborough,490,280,57.1
12057000901,Hillsborough,645,460,71.3
12057000902,Hillsborough,1955,1275,65.2
12057001001,Hillsborough,1125,715,63.6
12057001002,Hillsborough,595,180,30.3
12057001100,Hillsborough,325,169,52.0
12057001200,Hillsborough,590,340,57.6
12057001300,Hillsborough,810,385,47.5
12057001400,Hillsborough,555,360,64.9
12057001500,Hillsborough,365,160,43.8
12057001600,Hillsborough,195,70,35.9
12057001700,Hillsborough,425,385,90.6
12057001800,Hillsborough,1070,575,53.7
12057001900,Hillsborough,380,230,60.5
12057002000,Hillsborough,315,175,55.6
12057002100,Hillsborough,230,109,47.4
12057002200,Hillsborough,335,163,48.7
12057002300,Hillsborough,455,220,48.4
12057002400,Hillsborough,830,390,47.0
12057002500,Hillsborough,1970,1025,52.0
12057002600,Hillsborough,465,255,54.8
12057002701,Hillsborough,490,305,62.2
12057002702,Hillsborough,265,100,37.7
12057002800,Hillsborough,380,185,48.7
12057002900,Hillsborough,305,140,45.9
12057003000,Hillsborough,760,339,44.6
12057003100,Hillsborough,875,335,38.3
12057003200,Hillsborough,695,495,71.2
12057003300,Hillsborough,585,404,69.1
12057003400,Hillsborough,655,335,51.1
12057003500,Hillsborough,550,385,70.0
12057003600,Hillsborough,675,355,52.6
12057003700,Hillsborough,175,68,38.9
12057003800,Hillsborough,210,93,44.3
12057004100,Hillsborough,670,485,72.4
12057004200,Hillsborough,255,83,32.5
12057004300,Hillsborough,450,260,57.8
12057004400,Hillsborough,560,305,54.5
12057004500,Hillsborough,655,365,55.7
12057004601,Hillsborough,1725,590,34.2
12057004602,Hillsborough,585,233,39.8
12057004700,Hillsborough,535,185,34.6
12057004800,Hillsborough,550,205,37.3
12057004901,Hillsborough,530,299,56.4
12057004902,Hillsborough,1020,369,36.2
12057005000,Hillsborough,1575,805,51.1
12057005101,Hillsborough,1680,564,33.6
12057005102,Hillsborough,1350,420,31.1
12057005301,Hillsborough,1775,705,39.7
12057005302,Hillsborough,410,265,64.6
12057005401,Hillsborough,945,370,39.2
12057005500,Hillsborough,895,375,41.9
12057005700,Hillsborough,990,430,43.4
12057005800,Hillsborough,685,255,37.2
12057005900,Hillsborough,600,215,35.8
12057006000,Hillsborough,480,220,45.8
12057006101,Hillsborough,570,70,12.3
12057006103,Hillsborough,860,380,44.2
12057006200,Hillsborough,460,150,32.6
12057006300,Hillsborough,140,65,46.4
12057006400,Hillsborough,120,15,12.5
12057006501,Hillsborough,1015,373,36.7
12057006503,Hillsborough,725,350,48.3
